what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312183527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312185315
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339312188517
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339312199800
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339312207793
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312314629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312319254
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339312323108
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312325064
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312328551
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339312337581
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339312340219
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339312348207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312389276
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312430159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312439867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312611629
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339312611635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312613296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339312616809
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339312628560
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339312632686
